titulo,fonte,quantidade_aparicoes,link
"Serasa Experian compra ClearSale, de antifraudes, por R$ 1,9 bilhão",TELETIME News,1,https://teletime.com.br/04/10/2024/serasa-experian-compra-clearsale-de-antifraudes-por-r-19-bilhao/
Diretriz da Europa pretende proibir reconhecimento facial na segurança pública,TELETIME News,1,https://teletime.com.br/19/05/2022/diretriz-da-europa-pretende-proibir-reconhecimento-facial-na-seguranca-publica/
Idec questiona Claro e Vivo por exigência de biometria facial,TELETIME News,1,https://teletime.com.br/28/11/2023/idec-questiona-claro-e-vivo-por-exigencia-de-biometria-facial/
"Caso Igor, jovem negro baleado, revela problemas sociais e dos sistemas de segurança pública e justiça enraizados no país; leia nota pública",Instituto Sou da Paz,1,https://soudapaz.org/noticias/caso-igor-jovem-negro-baleado-por-engano-revela-problemas-sociais-e-dos-sistemas-de-seguranca-publica-e-justica-enraizados-no-pais-leia-nota-publica/
Consciência Negra: ‘Chá das Pretas’ debate o papel da mulher negra na sociedade,SouBH,1,https://soubh.uai.com.br/noticias/variedades/consciencia-negra-cha-das-pretas-debate-o-papel-da-mulher-negra-na-sociedade/
"Em Brasília e no Vale do Ribeira, quilombolas lutam pelo reconhecimento de seus territórios",| Instituto Socioambiental,1,https://socioambiental.org/noticias-socioambientais/em-brasilia-e-no-vale-do-ribeira-quilombolas-lutam-pelo-reconhecimento-de
História – Os discursos de ódio virtuais e sua relação com o racismo.,Prefeitura de Goiânia,1,https://sme.goiania.go.gov.br/conexaoescola/ensino_fundamental/historia-os-discursos-de-odio-virtuais-e-sua-relacao-com-o-racismo/
Marcha Pela Memória Negra entra para o Calendário Oficial de São Carlos com apoio da vereadora Larissa Camargo,Portal SCDN,1,https://saocarlosdiaenoite.com.br/noticia/84786/marcha-memoria-negra-entra-calendario-oficial-de
Notícias,SAP SP,1,https://sap.sp.gov.br/sec_adm_penitenciaria/Noticias/policiais-penais-sao-homenageados-em-rio-preto
Racismo faz mal à saúde,Veja Saúde,1,https://saude.abril.com.br/bem-estar/racismo-faz-mal-a-saude/
Inclusão e saúde: os desafios de ser LGBTQIAPN+ no Brasil,Veja Saúde,1,https://saude.abril.com.br/coluna/saude-com-diversidade/inclusao-e-saude-os-desafios-de-ser-lgbtqiapn-no-brasil/
Estudante é espancado por grupo punk em São Caetano do Sul (SP),SBT News,1,https://sbtnews.sbt.com.br/noticia/policia/estudante-e-espancado-por-grupo-punk-em-sao-caetano-sp
Homem negro é preso injustamente durante sua festa de aniversário em Porto Alegre,SBT News,1,https://sbtnews.sbt.com.br/noticia/policia/homem-negro-e-preso-injustamente-durante-sua-festa-de-aniversario-em-porto-alegre
Paraguaio é preso no Rio por tráfico de drogas internacional,SBT News,1,https://sbtnews.sbt.com.br/noticia/policia/paraguaio-e-preso-no-rio-por-trafico-de-drogas-internacional
Escolas quilombolas da rede estadual promovem atividades de resistência na Semana da Consciência Negra,Secretaria de Estado da Educação de Sergipe,1,https://seduc.se.gov.br/escolas-quilombolas-da-rede-estadual-promovem-atividades-de-resistencia-na-semana-da-consciencia-negra/
"Samsung inicia distribuição da One UI 7, mas falhas causam frustração em usuários",SempreUpdate,1,https://sempreupdate.com.br/samsung-one-ui-7-problemas-e-recursos/
Friends e Living Single: o tom de pele pode influenciar o sucesso de uma série?,Rolling Stone Brasil,1,https://rollingstone.com.br/noticia/friends-e-living-single-entenda-o-reflexo-do-racismo-estrutural-na-producao-cultural/
Biometria facial e Itaú: o que você precisa saber para se proteger de golpes,Seu Crédito Digital,1,https://seucreditodigital.com.br/biometria-facial-itau-proteger-de-golpes/
Atos celebram 20 de novembro e levam pauta do antirracismo ao governo Lula,Sintep-MT,1,https://sintep.org.br/sintep/Utilidades/view_noticia/atos-celebram-20-de-novembro-e-levam-pauta-do-antirracismo-ao-governo-lula/i:2048
"Racismo impacta profundamente a saúde mental de pessoas negras, diz psicanalista",Sintep-MT,1,https://sintep.org.br/sintep/Utilidades/view_noticia/racismo-impacta-profundamente-a-saude-mental-de-pessoas-negras-diz-psicanalista/i:4117
Levantamento expõe desigualdades raciais e a luta por justiça social no mês da Consciência Negra,Sintepe Digital,1,https://sintepe.org.br/levantamento-expoe-desigualdades-raciais-e-a-luta-por-justica-social-no-mes-da-consciencia-negra/
12 filmes para refletir sobre a atualidade da luta contra o racismo,Sismmac,1,https://sismmac.org.br/12-filmes-para-refletir-sobre-a-atualidade-da-luta-contra-o-racismo/
SISMUC marca presença no Encontro Nacional da ISP e na Marcha de Mulheres Negras em Brasília,SISMUC,1,https://sismuc.org.br/2025/11/28/sismuc-marca-presenca-no-encontro-nacional-da-isp-e-na-marcha-de-mulheres-negras-em-brasilia/
Conapir debate políticas para enfrentamento às desigualdades raciais,CFP - Conselho Federal de Psicologia,1,https://site.cfp.org.br/conapir-debate-politicas-para-o-enfrentamento-as-desigualdades-raciais/
STF decide que Decreto 4.887/2003 é constitucional,CFP - Conselho Federal de Psicologia,1,https://site.cfp.org.br/stf-decide-que-decreto-4-887-2003-e-constitucional/
UCDB recebe nota máxima de Comissão do MEC no processo de recredenciamento institucional,Universidade Católica Dom Bosco,1,https://site.ucdb.br/noticias/ucdb/6/ucdb-recebe-nota-maxima-de-comissao-do-mec-no-processo-de-recredenciamento-institucional/61596/
A Curiosidade tá ON – A luta antirracista no Brasil,Prefeitura de Goiânia,1,https://sme.goiania.go.gov.br/conexaoescola/biblioteca_virtual/a-curiosidade-ta-on-a-luta-antirracista-no-brasil/
Dia da Consciência Negra! Resistir Sempre!,SINSP/RN,1,https://sinsprn.org.br/noticias.php?id=299=dia-da-consciencia-negra-resistir-sempre
"Desigualdades no mundo do trabalho: estruturais, múltiplas e entrecruzadas",Revista Teoria e Debate,1,https://teoriaedebate.org.br/2022/06/22/desigualdades-no-mundo-do-trabalho-estruturais-multiplas-e-entrecruzadas/
Invisibilidade exposta: o que devemos fazer com monumentos de racistas nas cidades?,Revista Afirmativa,1,https://revistaafirmativa.com.br/invisibilidade-exposta-o-que-devemos-fazer-com-monumentos-de-racistas-nas-cidades/
"“É o amplo movimento de mulheres negras que é a força do movimento negro”, afirma Coordenadora da Rede de Mulheres Afro-latino-americanas e Afro-Caribenhas",Revista Afirmativa,1,https://revistaafirmativa.com.br/e-o-amplo-movimento-de-mulheres-negras-que-e-a-forca-do-movimento-negro-afirma-coordenadora-da-rede-de-mulheres-afro-latino-americanas-e-afro-caribenhas/
A fotografia como suporte para o debate racial na escola,PORVIR - Inovações em Educação,1,https://porvir.org/a-fotografia-como-suporte-para-o-debate-racial-na-escola/
Antirracismo e lutas negras na contemporaneidade,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/bibliografia-basica/2021/11/23/antirracismo-e-lutas-negras-na-contemporaneidade/
Câmeras na segurança pública,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/glossario/2024/10/01/cameras-na-seguranca-publica/
O direito à educação no Brasil,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/linha-do-tempo/2020/08/26/o-direito-a-educacao-no-brasil/
As leis antidiscriminação: 1988 a 2016,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/linha-do-tempo/2020/11/12/as-leis-antidiscriminacao-1988-a-2016/
Política racial brasileira,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/linha-do-tempo/2021/11/04/politica-racial-brasileira/
Um pensador da raça: Edison Carneiro e as relações raciais no Brasil,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/opiniao/2020/11/26/um-pensador-da-raca-edison-carneiro-e-as-relacoes-raciais-no-brasil/
Cotas para quilombolas?,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/opiniao/2022/06/15/cotas-para-quilombolas/
A leitura unidimensional do racismo em Jessé Souza,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/opiniao/2023/08/25/a-leitura-unidimensional-do-racismo-em-jesse-souza/
A face oculta da desigualdade: segregação racial nas escolas brasileiras,Nexo Políticas Públicas,1,https://pp.nexojornal.com.br/opiniao/2024/11/04/a-face-oculta-da-desigualdade-segregacao-racial-nas-escolas-brasileiras/
Enganar o reconhecimento facial com tricô! (vídeo),Pplware,1,https://pplware.sapo.pt/truques-dicas/enganar-o-reconhecimento-facial-com-trico-video/
Arena Gamer completa um ano com reconhecimento da comunidade e mais de 40 eventos recebidos,Prefeitura da Cidade do Rio de Janeiro,1,https://prefeitura.rio/ciencia-e-tecnologia/arena-gamer-completa-um-ano-com-reconhecimento-da-comunidade-e-mais-de-40-eventos-recebidos/
Rio+Seguro: foragidos da Justiça são capturados no Fundão e em Copacabana,Prefeitura da Cidade do Rio de Janeiro,1,https://prefeitura.rio/seguranca/rioseguro-foragidos-da-justica-sao-capturados-no-fundao-e-em-copacabana/
GCM prende condenado por estupro de vulnerável graças ao reconhecimento facial do Smart Sampa,Prefeitura de São Paulo,1,https://prefeitura.sp.gov.br/w/gcm-prende-condenado-por-estupro-de-vulner%C3%A1vel-gra%C3%A7as-ao-reconhecimento-facial-do-smart-sampa
Smart Sampa chega à marca de 610 foragidos capturados; condenado por estupro de vulnerável foi preso na sexta,Prefeitura de São Paulo,1,https://prefeitura.sp.gov.br/w/smart-sampa-chega-%C3%A0-marca-de-610-foragidos-capturados-condenado-por-estupro-de-vulner%C3%A1vel-foi-preso-na-sexta
Smart Sampa chega à marca de 610 foragidos capturados; condenado por estupro de vulnerável foi preso na sexta,Prefeitura de São Paulo,1,https://prefeitura.sp.gov.br/web/butanta/w/smart-sampa-chega-%C3%A0-marca-de-610-foragidos-capturados-condenado-por-estupro-de-vulner%C3%A1vel-foi-preso-na-sexta
Shopping Light orienta consumidor a como denunciar casos de racismo,Prefeitura de São Paulo,1,https://prefeitura.sp.gov.br/web/direitos_humanos/w/noticias/321685
Smart Sampa atinge marco histórico: 2 mil foragidos presos,Prefeitura de São Paulo,1,https://prefeitura.sp.gov.br/web/sampa-news/w/smart-sampa-atinge-marco-hist%C3%B3rico-2-mil-foragidos-presos
Saúde discute impacto da violência contra a mulher,Prefeitura de São Paulo,1,https://prefeitura.sp.gov.br/web/saude/w/noticias/275986
"Polícia Rodoviária frustra tentativa de roubo e prende criminosos na Rodovia Dom Pedro I, em Campinas",Notícias de São José do Rio Pardo,1,https://portalriopardo.com.br/policia-rodoviaria-frustra-tentativa-de-roubo-e-prende-criminosos-na-rodovia-dom-pedro-i-em-campinas/
"Polícia Civil recebe homenagem pela identificação, prisão e elucidação dos assaltos em Condomínio",Notícias de São José do Rio Pardo,1,https://portalriopardo.com.br/policia-civil-recebe-homenagem-pela-identificacao-prisao-e-elucidacao-dos-assaltos-em-condominio/
Roblox rebate processo de R$ 1 bilhão por violação autoral,POPline,1,https://portalpopline.com.br/roblox-rebate-processo-de-r-1-bilhao-por-violacao-autoral/
Brasil é o 5º país com mais redes de câmeras de vigilância com reconhecimento facial no mundo,Portal Plural,1,https://portalplural.com.br/brasil-e-o-5o-pais-com-mais-redes-de-cameras-de-vigilancia-com-reconhecimento-facial-no-mundo/
"Mesmo com MP contra, entregador negro é condenado a 18 anos por homicídio",Ponte Jornalismo,1,https://ponte.org/mesmo-com-mp-contra-entregador-negro-e-condenado-a-18-anos-por-homicidio/
"Negro, gay e budista: educador social está preso injustamente, segundo familiares",Ponte Jornalismo,1,https://ponte.org/negro-gay-e-budista-educador-social-esta-preso-injustamente-segundo-familiares/
Pintor negro corria para socorrer esposa que entrava em trabalho de parto e acabou preso por roubo,Ponte Jornalismo,1,https://ponte.org/pintor-negro-corria-para-socorrer-esposa-que-entrava-em-trabalho-de-parto-e-acabou-preso-por-roubo/
Protesto pede libertação de irmãos presos após reconhecimento pelos olhos,Ponte Jornalismo,1,https://ponte.org/protesto-pede-libertacao-de-irmaos-presos-apos-reconhecimento-pelos-olhos/
Reconhecimento de suspeitos em SP desrespeita Código de Processo Penal,Ponte Jornalismo,1,https://ponte.org/reconhecimento-de-suspeitos-em-sp-nao-respeitam-codigo-do-processo-penal/
Seminário propõe novos caminhos para a segurança pública a partir do cuidado e da convivência,Ponte Jornalismo,1,https://ponte.org/seminario-debate-seguranca-publica-com-movimentos-sociais-e-populacao/
"Vítima inocenta suspeito, mas Justiça ignora e mantém jovem negro preso sem provas",Ponte Jornalismo,1,https://ponte.org/vitima-inocenta-suspeito-mas-justica-ignora-e-mantem-jovem-negro-preso-sem-provas/
Protocolo Antirracista é apresentado à comunidade acadêmica do IFRN,IFRN,1,https://portal.ifrn.edu.br/campus/reitoria/noticias/protocolo-antirracista-e-apresentado-a-comunidade-academica-do-ifrn/
Cursos de graduação da PUCRS recebem novos conceitos pelo MEC,PUCRS,1,https://portal.pucrs.br/noticias/ensino/cursos-de-graduacao-da-pucrs-recebem-novos-conceitos-pelo-mec/
“Descaso total”: aluna de Odontologia denuncia problemas com reconhecimento de pagamentos na UNINASSAU de Petrolina,Preto no Branco | Com Sibelle Fonseca,1,https://pretonobranco.org/2025/04/04/descaso-total-aluna-de-odontologia-denuncia-problemas-com-reconhecimento-de-pagamentos-na-uninassau-de-petrolina/
STF enquadra homofobia e transfobia como crimes de racismo ao reconhecer omissão legislativa,Portal STF,1,https://portal.stf.jus.br/noticias/verNoticiaDetalhe.asp?idConteudo=414010
NJ Especial – Cota racial em concursos: Juiz mantém exclusão de candidato não considerado pardo por comissão examinadora.,TRT-MG,1,https://portal.trt3.jus.br/internet/conheca-o-trt/comunicacao/noticias-juridicas/nj-especial-2013-cota-racial-em-concursos-juiz-mantem-exclusao-de-candidato-nao-considerado-pardo-por-comissao-examinadora
Garoto de programa suspeito de matar professor universitário fez selfie e usou biometria facial após o crime,Portal 6,1,https://portal6.com.br/2023/09/26/garoto-de-programa-e-preso-suspeito-de-matar-professor-universitario-para-roubar-dinheiro-dele-em-goiania/
